"","code_insee","code_pat"
"9047.1","26126","24"
"9048","26127","21"
"9048.1","26127","24"
"9049","26128","24"
"9049.1","26128","28"
"9050","26129","23"
"9050.1","26129","24"
"9051","26130","21"
"9051.1","26130","24"
"9052","26131","24"
"9052.1","26131","27"
"9053","26133","24"
"9054","26134","24"
"9054.1","26134","28"
"9055","26135","24"
"9056","26136","24"
"9056.1","26136","25"
"9057","26137","24"
"9057.1","26137","28"
"9058","26138","24"
"9058.1","26138","30"
"9059","26139","23"
"9059.1","26139","24"
"9060","26140","23"
"9060.1","26140","24"
"9061","26141","31"
"9061.1","26141","24"
"9061.2","26141","28"
"9062","26142","31"
"9062.1","26142","24"
"9062.2","26142","25"
"9063","26143","24"
"9064","26144","24"
"9064.1","26144","28"
"9065","26145","24"
"9065.1","26145","30"
"9066","26146","24"
"9067","26147","24"
"9067.1","26147","25"
"9068","26148","24"
"9069","26149","23"
"9069.1","26149","24"
"9070","26150","24"
"9071","26152","24"
"9071.1","26152","25"
"9072","26153","21"
"9072.1","26153","24"
"9073","26154","21"
"9073.1","26154","24"
"9074","26155","24"
"9075","26156","24"
"9075.1","26156","12"
"9076","26157","24"
"9076.1","26157","26"
"9077","26159","31"
"9077.1","26159","24"
"9077.2","26159","25"
"9078","26160","24"
"9079","26161","21"
"9079.1","26161","24"
"9080","26162","24"
"9081","26163","31"
"9081.1","26163","22"
"9081.2","26163","24"
"9082","26164","24"
"9082.1","26164","25"
"9083","26165","24"
"9083.1","26165","28"
"9084","26166","24"
"9084.1","26166","28"
"9085","26167","24"
"9085.1","26167","25"
"9086","26168","31"
"9086.1","26168","24"
"9086.2","26168","25"
"9087","26169","24"
"9087.1","26169","30"
"9088","26170","23"
"9088.1","26170","24"
"9089","26171","24"
"9089.1","26171","26"
"9090","26172","24"
"9091","26173","23"
"9091.1","26173","24"
"9092","26174","24"
"9092.1","26174","12"
"9093","26175","31"
"9093.1","26175","24"
"9093.2","26175","25"
"9094","26176","24"
"9094.1","26176","26"
"9095","26177","24"
"9095.1","26177","12"
"9096","26178","24"
"9096.1","26178","25"
"9097","26179","24"
"9097.1","26179","12"
"9098","26180","24"
"9099","26181","24"
"9100","26182","21"
"9100.1","26182","24"
"9101","26183","24"
"9101.1","26183","29"
"9102","26185","24"
"9102.1","26185","28"
"9103","26186","24"
"9103.1","26186","25"
"9104","26188","21"
"9104.1","26188","24"
"9105","26189","21"
"9105.1","26189","24"
"9106","26190","21"
"9106.1","26190","24"
"9107","26191","24"
"9107.1","26191","26"
"9108","26192","24"
